episode,frames,return,misbehave,Lc,La,ratio,test
42.0,3213.0,0.0,1.0,0.1141070626137207,-1.6733115744590759,0.02666666666666667,0.0
43.0,3266.0,1.0,0.0,0.10255863454466066,-1.648559582233429,0.018867924528301886,0.0
44.0,3325.0,0.0,1.0,0.09045437703971401,-1.625212905406952,0.01694915254237288,0.0
45.0,3425.0,0.0,0.0,0.1015492700417235,-1.6037401127815247,0.03,0.0
46.0,3506.0,1.0,0.0,0.08320890995033552,-1.5763911986351014,0.037037037037037035,0.0
47.0,3581.0,0.0,1.0,0.08904650321601366,-1.5548061919212341,0.013333333333333334,0.0
48.0,3681.0,0.0,0.0,0.09582040169465472,-1.5301683950424194,0.02,0.0
49.0,3737.0,0.0,1.0,0.09254451815129869,-1.5084408187866212,0.05357142857142857,0.0
50.0,3825.0,0.0,1.0,0.08469377640083621,-1.4885718631744385,0.03409090909090909,0.0
51.0,3876.0,1.0,0.0,0.09531654032180086,-1.4652412486076356,0.0196078431372549,0.0
52.0,3932.0,1.0,0.0,0.0904772939618033,-1.4382950234413148,0.0,0.0
53.0,3984.0,1.0,0.0,0.09475479056825861,-1.4222960567474365,0.0,0.0
54.0,4047.0,0.0,1.0,0.09373109362047899,-1.4008420324325561,0.031746031746031744,0.0
55.0,4115.0,1.0,0.0,0.0950070809265162,-1.3815853381156922,0.014705882352941176,0.0
56.0,4177.0,0.0,1.0,0.08696174514006884,-1.3586292171478271,0.016129032258064516,0.0
57.0,4222.0,1.0,0.0,0.0868520143632486,-1.338658139705658,0.022222222222222223,0.0
58.0,4290.0,0.0,1.0,0.06963785024709068,-1.3191195249557495,0.04411764705882353,0.0
59.0,4340.0,0.0,1.0,0.08151878251680841,-1.3008394479751586,0.06,0.0
60.0,4400.0,1.0,0.0,0.09156468235436478,-1.2826781249046326,0.0,0.0
61.0,4455.0,1.0,0.0,0.06869789154094179,-1.2617598509788512,0.0,0.0
62.0,4544.0,0.0,1.0,0.07385626633205902,-1.2393209099769593,0.02247191011235955,0.0
63.0,4599.0,0.0,1.0,0.09548997320616763,-1.2229017257690429,0.01818181818181818,0.0
64.0,4699.0,0.0,0.0,0.07889088128016737,-1.207882480621338,0.0,0.0
65.0,4748.0,0.0,1.0,0.0714548225060571,-1.185996105670929,0.0,0.0
66.0,4810.0,0.0,1.0,0.08094785349443555,-1.1686272311210633,0.016129032258064516,0.0
67.0,4900.0,1.0,0.0,0.05314937769777316,-1.1510288619995117,0.011111111111111112,0.0
68.0,4978.0,1.0,0.0,0.06828353705741393,-1.1320394420623778,0.0,0.0
69.0,5058.0,1.0,0.0,0.059734586647082324,-1.1158191800117492,0.0125,0.0
70.0,5127.0,1.0,0.0,0.07871093017281965,-1.099896650314331,0.014492753623188406,0.0
71.0,5221.0,0.0,1.0,0.07915458315052092,-1.0818636345863342,0.02127659574468085,0.0
72.0,5289.0,0.0,1.0,0.059691233182029464,-1.0650978899002075,0.029411764705882353,0.0
73.0,5375.0,1.0,0.0,0.06907198306173086,-1.0497049975395203,0.046511627906976744,0.0
74.0,5435.0,0.0,1.0,0.05885984737426043,-1.0338992309570312,0.03333333333333333,0.0
75.0,5492.0,1.0,0.0,0.07109816784213763,-1.0191386067867279,0.03508771929824561,0.0
76.0,5559.0,0.0,1.0,0.0662970683578169,-1.0002488374710083,0.04477611940298507,0.0
77.0,5659.0,0.0,0.0,0.06998910781927407,-0.986515862941742,0.02,0.0
78.0,5725.0,0.0,1.0,0.06735107428728952,-0.97292356133461,0.015151515151515152,0.0
79.0,5825.0,0.0,0.0,0.06067964645873872,-0.9587628591060638,0.02,0.0
80.0,5923.0,1.0,0.0,0.060203367418143895,-0.9438451337814331,0.01020408163265306,0.0
81.0,5981.0,0.0,1.0,0.04615641650045291,-0.9292217314243316,0.0,0.0
82.0,6081.0,0.0,0.0,0.06403940240852535,-0.9149085283279419,0.03,0.0
83.0,6142.0,1.0,0.0,0.058493472104892134,-0.901283757686615,0.01639344262295082,0.0
84.0,6242.0,0.0,0.0,0.045639705467328893,-0.888108856678009,0.02,0.0
85.0,6305.0,1.0,0.0,0.06616050636337605,-0.8792531955242157,0.015873015873015872,0.0
86.0,6365.0,0.0,1.0,0.05010243064723909,-0.858729110956192,0.0,0.0
87.0,6435.0,1.0,0.0,0.054354973744630115,-0.8486374342441558,0.0,0.0
88.0,6535.0,0.0,0.0,0.04995699777573463,-0.8356302154064178,0.02,0.0
89.0,6627.0,1.0,0.0,0.04349634728899218,-0.8192689669132233,0.0,0.0
90.0,6709.0,0.0,1.0,0.04880816353543196,-0.8063455021381378,0.024390243902439025,0.0
91.0,6758.0,0.0,1.0,0.04282670342920028,-0.7902753496170044,0.061224489795918366,0.0
92.0,6806.0,1.0,0.0,0.04221589340828359,-0.7790675175189972,0.020833333333333332,0.0
93.0,6871.0,0.0,1.0,0.0397481044777669,-0.766856085062027,0.03076923076923077,0.0
94.0,6971.0,0.0,0.0,0.04203415650171337,-0.7538097369670868,0.01,0.0
95.0,7071.0,0.0,0.0,0.050120190953421115,-0.7463737714290619,0.04,0.0
96.0,7134.0,0.0,1.0,0.04242144278963678,-0.7323292922973633,0.0,0.0
97.0,7234.0,0.0,0.0,0.038719718873035165,-0.716815824508667,0.03,0.0
98.0,7300.0,1.0,0.0,0.0403019598685205,-0.7114884090423584,0.030303030303030304,0.0
99.0,7365.0,1.0,0.0,0.042497392711520664,-0.6972930538654327,0.07692307692307693,0.0
100.0,7465.0,0.0,0.0,0.038803908540867266,-0.6865601801872253,0.05,0.0
101.0,7534.0,0.0,1.0,0.03615995197644224,-0.6748080503940582,0.014492753623188406,0.0
102.0,7613.0,1.0,0.0,0.03863369042269369,-0.6631750988960267,0.012658227848101266,0.0
103.0,7682.0,0.0,1.0,0.03340934460953576,-0.6552051687240601,0.07246376811594203,0.0
104.0,7740.0,0.0,1.0,0.03622350931633264,-0.6432438373565674,0.034482758620689655,0.0
105.0,7819.0,0.0,1.0,0.03330988645480829,-0.6314230930805206,0.0379746835443038,0.0
106.0,7919.0,0.0,0.0,0.03178379352888441,-0.623302252292633,0.04,0.0
107.0,8019.0,0.0,0.0,0.026712681792232615,-0.6130498802661896,0.0,0.0
108.0,8119.0,0.0,0.0,0.032931689785496016,-0.6000281620025635,0.03,0.0
109.0,8219.0,0.0,0.0,0.031383141829301166,-0.5916069626808167,0.03,0.0
110.0,8271.0,0.0,1.0,0.02737375652901392,-0.5838894867897033,0.09615384615384616,0.0
111.0,8334.0,0.0,1.0,0.033370398297556676,-0.5767466759681702,0.07936507936507936,0.0
112.0,8392.0,0.0,1.0,0.030873571972606442,-0.5655587434768676,0.034482758620689655,0.0
113.0,8473.0,0.0,1.0,0.027883730526737052,-0.553166869878769,0.037037037037037035,0.0
114.0,8557.0,0.0,1.0,0.03215236726731177,-0.5447717547416687,0.047619047619047616,0.0
115.0,8657.0,0.0,0.0,0.03157948611129541,-0.5381501317024231,0.05,0.0
116.0,8722.0,1.0,0.0,0.02754860784349148,-0.5297430670261383,0.046153846153846156,0.0
117.0,8799.0,1.0,0.0,0.03186712465118035,-0.5189325380325317,0.03896103896103896,0.0
118.0,8845.0,0.0,1.0,0.020307518685398734,-0.5127439397573471,0.043478260869565216,0.0
119.0,8934.0,1.0,0.0,0.02900450381508563,-0.5032506787776947,0.06741573033707865,0.0
120.0,9034.0,0.0,0.0,0.030493466989937587,-0.49508724570274354,0.03,0.0
121.0,9085.0,0.0,1.0,0.022243232361779518,-0.48663300931453707,0.0196078431372549,0.0
122.0,9185.0,0.0,0.0,0.026587509327437146,-0.4786440122127533,0.04,0.0
123.0,9263.0,1.0,0.0,0.022098906890605577,-0.47581211388111117,0.038461538461538464,0.0
124.0,9334.0,1.0,0.0,0.02677851412531254,-0.46511865973472594,0.11267605633802817,0.0
125.0,9434.0,0.0,0.0,0.028179113135201987,-0.4547258102893829,0.04,0.0
126.0,9514.0,0.0,1.0,0.016598702392880114,-0.44638882219791415,0.05,0.0
127.0,9583.0,1.0,0.0,0.02437630210185077,-0.441572830080986,0.10144927536231885,0.0
128.0,9669.0,0.0,1.0,0.021895350294253147,-0.4326548957824707,0.046511627906976744,0.0
129.0,9765.0,1.0,0.0,0.02338465779298076,-0.42783770740032195,0.041666666666666664,0.0
130.0,9823.0,0.0,1.0,0.022942187364096752,-0.42065012753009795,0.08620689655172414,0.0
131.0,9923.0,0.0,0.0,0.02752554290691478,-0.40965297639369963,0.05,0.0
132.0,10000.0,0.0,1.0,0.02147242274837481,-0.4041908884048462,0.06493506493506493,0.0
133.0,10100.0,0.0,0.0,0.02466121221803405,-0.40226272702217103,0.09,0.0
134.0,10200.0,0.0,0.0,0.021906246582907442,-0.39462792098522187,0.11,0.0
135.0,10284.0,1.0,0.0,0.021836865381046663,-0.3866040927171707,0.09523809523809523,0.0
136.0,10345.0,0.0,1.0,0.020138122828327595,-0.3771672451496124,0.04918032786885246,0.0
137.0,10393.0,0.0,1.0,0.02115860119896752,-0.37381259083747864,0.020833333333333332,0.0
138.0,10458.0,0.0,1.0,0.023522801065178102,-0.37236672937870025,0.12307692307692308,0.0
139.0,10557.0,0.0,1.0,0.018527750997636757,-0.3631084042787552,0.04040404040404041,0.0
140.0,10657.0,0.0,0.0,0.020522238008834393,-0.355379763841629,0.06,0.0
141.0,10733.0,0.0,1.0,0.01684928281189059,-0.3514281487464905,0.02631578947368421,0.0
142.0,10833.0,0.0,0.0,0.01955936646234477,-0.3453787964582443,0.06,0.0
143.0,10890.0,1.0,0.0,0.022615368750539346,-0.3405040836334228,0.19298245614035087,0.0
144.0,10990.0,0.0,0.0,0.0209204893965034,-0.3368116521835327,0.09,0.0
145.0,11079.0,0.0,1.0,0.01968761904103303,-0.3323680591583252,0.1348314606741573,0.0
146.0,11172.0,0.0,1.0,0.012674391524051316,-0.3258320266008377,0.16129032258064516,0.0
147.0,11229.0,0.0,1.0,0.014811764677651808,-0.31828378200531005,0.12280701754385964,0.0
148.0,11329.0,0.0,0.0,0.017562712196054237,-0.3175299334526062,0.03,0.0
149.0,11381.0,0.0,1.0,0.02098537017525814,-0.31186382591724393,0.09615384615384616,0.0
150.0,11470.0,0.0,1.0,0.0148694262350773,-0.3051816272735596,0.16853932584269662,0.0
151.0,11570.0,0.0,0.0,0.016285964214694103,-0.30047722935676574,0.09,0.0
152.0,11670.0,0.0,0.0,0.015276722764715771,-0.298417239189148,0.1,0.0
153.0,11770.0,0.0,0.0,0.015327468362274886,-0.2921967303752899,0.08,0.0
